(0,0)
(0.498097,0.0435779)
(0.990501,0.130402)
(1.47346,0.259811)
(1.94331,0.430822)
(2.39646,0.642131)
(2.82948,0.892131)
(3.23905,1.17892)
(3.62208,1.50031)
(3.97563,1.85387)
(4.29702,2.23689)
(4.58381,2.64646)
(4.83381,3.07948)
(5.04512,3.53263)
(5.21613,4.00248)
(5.34554,4.48544)
(5.43236,4.97784)
(5.47594,5.47594)
(5.47594,5.97594)
(5.43236,6.47404)
(5.34554,6.96644)
(5.21613,7.44941)
(5.04512,7.91925)
(4.83381,8.37241)
(4.58381,8.80542)
(4.29702,9.21499)
(3.97563,9.59802)
(3.62208,9.95157)
(3.23905,10.273)
(2.82948,10.5598)
(2.39646,10.8098)
(1.94331,11.0211)
(1.47346,11.1921)
(0.990501,11.3215)
(0.498097,11.4083)
(3.88578e-16,11.4519)
(-0.5,11.4519)
(-0.998097,11.4083)
(-1.4905,11.3215)
(-1.97346,11.1921)
(-2.44331,11.0211)
(-2.89646,10.8098)
(-3.32948,10.5598)
(-3.73905,10.273)
(-4.12208,9.95157)
(-4.47563,9.59802)
(-4.79702,9.21499)
(-5.08381,8.80542)
(-5.33381,8.37241)
(-5.54512,7.91925)
(-5.71613,7.44941)
(-5.84554,6.96644)
(-5.93236,6.47404)
(-5.97594,5.97594)
(-5.97594,5.47594)
(-5.93236,4.97784)
(-5.84554,4.48544)
(-5.71613,4.00248)
(-5.54512,3.53263)
(-5.33381,3.07948)
(-5.08381,2.64646)
(-4.79702,2.23689)
(-4.47563,1.85387)
(-4.12208,1.50031)
(-3.73905,1.17892)
(-3.32948,0.892131)
(-2.91496,0.612534)
(-2.50044,0.332938)
(-2.08592,0.0533413)
(-2,0)
